Project;Version;Class;wmc;dit;noc;cbo;rfc;lcom;ca;ce;npm;lcom3;loc;dam;moa;mfa;cam;ic;cbm;amc;nr;ndc;nml;isOld;ndpv;ner;bugs
Tomcat;6.0.389418;org.apache.coyote.http11.filters.VoidInputFilter;8;1;0;6;13;26;2;;7;1.0;34;1.0;1;0.0;0.39285713;0;0;3.0;;;;;;;0
Tomcat;6.0.389418;javax.el.ResourceBundleELResolver;7;2;0;0;32;21;0;;7;2.0;163;0.0;0;0.53846157;0.9047619;1;1;22.285715;;;;;;;0
Tomcat;6.0.389418;javax.el.ELResolver;8;1;9;0;18;28;0;;7;1.1428572;55;0.0;0;0.0;0.55;0;0;5.625;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.loader.WebappLoader;47;1;0;20;177;739;3;;39;0.89440995;1737;1.0;4;0.0;0.09710145;0;0;35.51064;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.SelectorContext;35;1;0;4;87;573;1;;31;0.5441176;373;0.5;1;0.0;0.34313726;0;0;9.485714;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.valves.ValveBase;22;1;15;33;50;189;19;;21;0.93333334;376;1.0;3;0.0;0.17460318;0;0;15.636364;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Stdlib;10;1;0;0;11;45;0;;10;2.0;13;0.0;0;0.0;0.375;0;0;0.3;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Shm;9;1;0;1;10;36;0;;9;2.0;12;0.0;0;0.0;0.44444445;0;0;0.33333334;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.MIME2Java;4;1;0;1;9;2;1;;2;0.6666667;395;1.0;0;0.0;0.5;0;0;97.25;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.util.Queue;7;1;0;0;16;0;0;;7;0.0;63;1.0;0;0.0;0.5714286;0;0;7.857143;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.server.JkMain;47;1;0;8;133;583;1;;36;0.8830228;1448;0.23809524;2;0.0;0.15458937;0;0;29.361702;;;;;;;1
Tomcat;6.0.389418;org.apache.coyote.http11.Http11Processor$1;2;1;0;2;4;1;1;;1;1.0;11;0.0;1;0.0;0.75;0;0;4.0;;;;;;;0
Tomcat;6.0.389418;org.apache.coyote.http11.filters.VoidOutputFilter;8;1;0;6;14;26;2;;7;1.0;39;1.0;2;0.0;0.39285713;0;0;3.5;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.FactoryCreateRule;20;2;0;5;51;156;1;;19;0.6421053;429;1.0;2;0.6875;0.37142858;0;0;20.2;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.Mark$IncludeState;1;1;0;1;2;0;1;;0;2.0;43;0.0;1;0.0;1.0;0;0;33.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.connector.CoyoteInputStream$4;2;1;0;2;5;0;1;;1;0.0;37;0.0;1;0.0;0.625;0;0;15.5;;;;;;;0
Tomcat;6.0.389418;org.apache.juli.ClassLoaderLogManager$LogNode;5;1;0;2;17;0;2;;0;0.16666667;120;0.6666667;1;0.0;0.5;0;0;22.4;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.session.Constants;1;1;0;0;2;0;0;;1;2.0;5;0.0;0;0.0;1.0;0;0;3.0;;;;;;;0
Tomcat;6.0.389418;org.apache.el.lang.VariableMapperImpl;5;2;0;1;11;0;1;;5;0.625;39;1.0;0;0.33333334;0.4;0;0;6.4;;;;;;;0
Tomcat;6.0.389418;org.apache.naming.ResourceEnvRef;3;2;0;2;7;3;2;;3;1.5;30;0.0;0;0.9375;0.8333333;0;0;8.666667;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.users.MemoryGroup;9;2;0;6;28;0;1;;8;0.5;240;1.0;1;0.6;0.3888889;0;0;25.444445;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Address;10;1;0;3;11;45;2;;9;1.0;17;0.0;0;0.0;0.33333334;0;0;0.6;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.ssi.ExpressionParseTree$1;0;1;0;11;0;0;11;;0;2.0;0;0.0;0;0.0;0.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.Extension;20;1;0;2;29;92;2;;19;0.82236844;336;1.0;0;0.0;0.375;0;0;15.4;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.core.StandardEngineValve;4;2;0;8;13;4;1;;2;1.0;36;1.0;1;0.90909094;0.5555556;0;0;7.5;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.jni.Poll;10;1;0;4;11;45;3;;10;1.1111112;24;0.0;0;0.0;0.34;0;0;0.3;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.deploy.ContextLocalEjb;8;2;0;3;15;0;2;;8;0.5714286;125;1.0;0;0.6315789;0.6875;0;0;14.25;;;;;;;0
Tomcat;6.0.389418;org.apache.catalina.util.CookieTools;6;1;0;1;27;15;0;;4;1.2;223;1.0;0;0.0;0.3;0;0;36.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.JspRuntimeContext;21;1;0;12;95;124;5;;14;0.85833335;719;1.0;2;0.0;0.225;0;0;32.666668;;;;;;;2
Tomcat;6.0.389418;org.apache.jasper.compiler.Dumper;3;1;0;5;8;3;0;;2;2.0;26;0.0;0;0.0;0.33333334;0;0;7.6666665;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.net.AprEndpoint$Handler;1;1;0;6;1;0;6;;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.compiler.TagFileProcessor$TagFileDirectiveVisitor$NameEntry;4;1;0;2;5;0;1;;0;0.6666667;28;1.0;2;0.0;0.4375;0;0;5.25;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.Apr;2;1;0;0;8;1;0;;1;1.0;28;1.0;0;0.0;1.0;0;0;12.5;;;;;;;0
Tomcat;6.0.389418;org.apache.tomcat.util.digester.Rule;13;1;28;40;14;56;40;;13;0.75;65;1.0;1;0.0;0.42307693;0;0;3.8461537;;;;;;;0
Tomcat;6.0.389418;org.apache.jk.config.GeneratorJk1;11;1;0;2;23;15;1;;11;0.7;167;0.0;1;0.0;0.3181818;0;0;13.727273;;;;;;;0
Tomcat;6.0.389418;org.apache.jasper.runtime.PageContextImpl$2;2;1;0;1;4;0;1;;1;0.0;25;0.0;1;0.0;0.625;0;0;10.0;;;;;;;0
Tomcat;6.0.389418;org.apache.coyote.http11.InternalAprOutputBuffer$SocketOutputBuffer;2;1;0;4;10;0;1;;1;0.0;75;0.0;1;0.0;0.625;0;0;36.0;;;;;;;0
